mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.5179522037506104,0.1918063030787219,0.16435630321502687,0.11628268955683951,15000.0,{'ccp_alpha': 15000.0},-4402.099622147897,-4992.261260169266,-5333.837547935355,-4723.7996429996065,-5266.768700412828,-4212.264259128769,-5274.605133154546,-5442.8584054988405,-4074.8790831398883,-5494.321235704685,-4921.769489029169,504.7282085839185,988
1.4165211200714112,0.28588768355466626,0.1820310115814209,0.07266616288395546,16000.0,{'ccp_alpha': 16000.0},-4400.593289332929,-4991.427964501646,-5334.385183821024,-4725.256341187483,-5268.152885432828,-4212.191407690387,-5273.716433511924,-5444.243106871444,-4075.6400252259677,-5493.291774644183,-4921.889841221981,504.8016001078723,990
1.4709046602249145,0.25038654098240576,0.2000192403793335,0.12233583336192402,17000.0,{'ccp_alpha': 17000.0},-4400.931623253334,-4989.546766718302,-5333.25145713188,-4724.603247910866,-5267.265461890999,-4213.355858612402,-5274.582450629409,-5444.629583505053,-4073.641635152626,-5492.612492340226,-4921.442057714509,504.8085083115683,984
1.4502849340438844,0.2816385101132686,0.259009861946106,0.12919008968760004,18000.0,{'ccp_alpha': 18000.0},-4400.6028049095685,-4989.917743436837,-5333.5532796300595,-4725.7296794716,-5264.854579800778,-4216.326586020191,-5274.160426550878,-5445.134964778648,-4072.510572957361,-5492.884999960506,-4921.567563751643,504.49157405581025,986
1.3853448152542114,0.2188131945604374,0.25496649742126465,0.15144923638437172,19000.0,{'ccp_alpha': 19000.0},-4401.164725543392,-4991.275302714685,-5334.129079842287,-4726.24412479465,-5264.874606053726,-4216.666879453797,-5274.167194077182,-5446.465985612149,-4071.7534355455127,-5492.7377321652,-4921.947906580259,504.6824796864178,991
1.4291378259658813,0.2759186382730633,0.23142943382263184,0.13124819022751552,20000.0,{'ccp_alpha': 20000.0},-4400.085300382111,-4991.171010570342,-5334.303113718387,-4725.806875456419,-5263.199754747193,-4219.657835872764,-5273.312614756006,-5446.440412939162,-4071.597346958474,-5492.443823976479,-4921.801808937734,504.2237307046923,989
1.4075932502746582,0.3023678000582929,0.26434409618377686,0.10228998276206422,21000.0,{'ccp_alpha': 21000.0},-4399.149493557783,-4991.0984670638445,-5334.84753667186,-4724.909281198026,-5264.356475424695,-4219.751349202055,-5273.556488220423,-5444.5745623046105,-4071.253899182127,-5492.003413549913,-4921.550096637534,504.29586028311337,985
1.3614081859588623,0.2932675804894439,0.24156765937805175,0.15483539561694565,22000.0,{'ccp_alpha': 22000.0},-4397.093324658304,-4990.302079346533,-5333.66456998435,-4724.483788686705,-5263.504272401011,-4220.422476412026,-5272.86463353224,-5444.072706043622,-4071.290008665074,-5491.508324115165,-4920.9206183845035,504.1041782064009,982
1.4369380235671998,0.24245534166012214,0.2958529949188232,0.1169617733888853,23000.0,{'ccp_alpha': 23000.0},-4395.2831827123655,-4988.957912794766,-5335.767745787724,-4724.913060852533,-5260.503510144433,-4222.077048353234,-5271.511344139254,-5437.786416113454,-4070.183500924178,-5491.86846210697,-4919.885218392891,503.48070839674943,980
1.506809449195862,0.2711002130882877,0.24110863208770753,0.04866655423404635,24000.0,{'ccp_alpha': 24000.0},-4393.609379143642,-4988.1930020941145,-5335.291686076927,-4726.167561795993,-5261.612062258318,-4223.66731072435,-5269.501387568887,-5439.007407819968,-4071.0892425508355,-5490.674877904629,-4919.881391793767,503.10959483088857,979
1.410650873184204,0.26200365346650506,0.17286810874938965,0.04715971065143804,25000.0,{'ccp_alpha': 25000.0},-4394.632481856159,-4989.32702155225,-5334.087833143961,-4727.221403445569,-5262.837585283802,-4226.504888452183,-5269.258624502652,-5438.285430614401,-4071.285741634576,-5490.344229702765,-4920.378524018833,502.40730884308925,981
1.5442949056625366,0.2558870892313283,0.22183215618133545,0.18021253083254635,26000.0,{'ccp_alpha': 26000.0},-4392.501852334084,-4987.626681744138,-5330.930139756114,-4725.02508606321,-5261.53670182575,-4224.893587092399,-5268.945972910912,-5437.865945432089,-4070.8155208521534,-5489.7398627624625,-4918.988135077332,502.51195868830854,977
1.3047281503677368,0.21249139908251868,0.25486140251159667,0.08408485000513627,27000.0,{'ccp_alpha': 27000.0},-4392.585107992988,-4987.352282125717,-5329.871977979094,-4724.841323343322,-5260.811324092404,-4227.600715722315,-5268.585315813331,-5435.643659915174,-4070.858387351752,-5489.011061000937,-4918.7161155337035,501.6525253413468,976
1.3933379888534545,0.17699542351998937,0.30449326038360597,0.1159323620761845,28000.0,{'ccp_alpha': 28000.0},-4393.954405087389,-4986.84937275491,-5326.893343594025,-4724.169868068448,-5260.264496265333,-4229.611960607839,-5266.875286475026,-5434.451228408019,-4070.4573283626314,-5489.548787937499,-4918.307607756112,500.8575120919128,975
1.341247034072876,0.33850024004078727,0.24105348587036132,0.07717095597629561,29000.0,{'ccp_alpha': 29000.0},-4394.183560385419,-4985.532600532163,-5324.917992395543,-4724.707530552266,-5259.0879100037355,-4231.359076488522,-5266.386389718047,-5433.01211001518,-4071.1055476651345,-5489.496070673894,-4917.97887884299,500.01537813853975,974
1.4362757921218872,0.3141285661510422,0.28106329441070554,0.08194433415535611,30000.0,{'ccp_alpha': 30000.0},-4392.205061151505,-4984.691975368395,-5325.05448592197,-4724.250029423863,-5257.135034508872,-4231.579573414949,-5266.240249807314,-5423.354371668911,-4069.9184223521866,-5489.551573385941,-4916.398077700391,499.2863237617241,972
1.2900187015533446,0.33680686177101277,0.23535172939300536,0.10979256428261597,31000.0,{'ccp_alpha': 31000.0},-4392.153812881046,-4983.699194729992,-5323.168837309122,-4724.00063526905,-5257.09973647819,-4232.06753172252,-5265.64268889604,-5422.692860308392,-4069.819623548499,-5490.234097696697,-4916.057901883954,499.050552324846,971
1.4352874040603638,0.1952741417783096,0.2216655969619751,0.06160809196549589,32000.0,{'ccp_alpha': 32000.0},-4391.257636759147,-4982.352107466097,-5321.85985192324,-4724.407489465119,-5258.006621967335,-4232.241000265732,-5264.986663531064,-5421.084878197972,-4068.6163591120267,-5490.625979839279,-4915.543858852701,499.0827942374157,970
1.4354927778244018,0.22247131399267886,0.2077871799468994,0.08946954088203365,33000.0,{'ccp_alpha': 33000.0},-4390.478100859149,-4982.195193015638,-5318.023825512285,-4724.68238671646,-5257.135675722108,-4231.923346722998,-5263.438888350282,-5419.958493684714,-4065.6966670415773,-5490.091615182686,-4914.362419280789,499.03638552196406,969
1.444402265548706,0.3279643943941697,0.21899240016937255,0.12289478649929976,34000.0,{'ccp_alpha': 34000.0},-4389.074726806336,-4980.393905553524,-5316.215011233681,-4719.394532975494,-5256.348623694271,-4232.957576931438,-5262.489322811206,-5413.67976940901,-4065.228190821475,-5490.345122941936,-4912.612678317837,498.42923034316385,967
1.3999452590942383,0.1949082159184428,0.276140832901001,0.11445217077802043,35000.0,{'ccp_alpha': 35000.0},-4389.917979842376,-4980.4786035052075,-5315.082998824356,-4717.682078921675,-5256.327561903249,-4231.899808629578,-5261.758866057007,-5413.233774522308,-4062.438796265004,-5489.08391268694,-4911.79043811577,498.6921150981737,966
1.3651395559310913,0.2216036316306739,0.25728740692138674,0.11506128450389937,36000.0,{'ccp_alpha': 36000.0},-4389.080004584503,-4979.099863381873,-5312.890765219588,-4717.014390351164,-5255.945737005403,-4232.527592281017,-5260.632098419282,-5411.0630147991515,-4059.6101157367298,-5489.312954794878,-4910.717653657359,498.7095829208494,965
1.395358157157898,0.20806583961705644,0.23154101371765137,0.09374115499811278,37000.0,{'ccp_alpha': 37000.0},-4388.342903939247,-4978.975000938927,-5312.220174981475,-4716.824343838219,-5255.091672213776,-4232.6649059786105,-5259.07151866574,-5412.2166909520865,-4056.1077999737804,-5488.899595144305,-4910.041460662616,499.21756929153173,963
